제목,지역,소분류,성별,내용
[도시락지원사업] 도시락배달봉사,인천,부평구,공통,"부평중부종합복지관에서는 도시락배달을 도와주실 봉사자분들의 따듯한 손길이 필요합니다! 활동내용 : 도시락배달활동일시 : 월~금 중 주 1회 이상 선택가능활동시간 : 9:00~12:00활동장소 : 부평중부복지관, 부평일대봉사내용 : 도시락이 필요한 가정에 도시락배달모집인원 : 3명신청방법 : 아래 복지관 연락처로 전화 문의 주시길 바랍니다! 담당자 강소연 사회복지사 /  032)528-4020 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"[홀트복지관] 무료급식 조리,세척 봉사자모집",대구,수성구,공통,"저소득 독거어르신 및 장애인, 결식아동 무료급식 조리,세척 봉사자 모집-모집대상 : 19세 이상 성인 누구나-모집인원 : 5명 정도-모집기간 : 모집 완료 시 까지-활동일시 (월1회 활동) : 월,화,수,목,금 중 매월 1회 활동 (09:00~12:00)-활동내용 : 무료급식 도시락 조리 및 세척-봉사신청방법 : 전화 및 방문 접수 (053-746-7501 / 이다겸 사회복지사)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"부산 동구지역 내 독거어르신 가정방문 및 말벗, 가사지원 봉사자모집",부산,동구,공통,"제     목 : 부산 동구지역 내 독거어르신 가정방문 및 말벗, 가사지원 봉사자모집모집대상 : 자원봉사자 50명활동장소 : 부산 동구 지역 내 대상자 집활동일시 : 대상자와 봉사자가 협의한 날짜 (정기적인 것이 아니고 한달에 한번이든 두번이든 대상자와 날짜를 협의합니다. )활동내용 : 말벗지원, 가사지원, 복지정보 전달활동문의 : 자성대노인복지관 허정훈 사회복지사* 꼭 문자로 연락주셔야 합니다.* 2인1조 권장입니다. 1인 활동 불가능합니다.연락처 : 051-632-7597 / 010-3756-3116(문자연락)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 봄나들이(아침고요수목원) 봉사자 모집합니다^^,서울,서초구,공통,"안녕하세요~? 까리따스방배종합사회복지관에서 어르신 프로그램 참여하는 어르신을 대상으로  봄 나들이 활동 보조 모집합니다.아래 사항을 확인해 보시고 많은 지원 부탁드립니다^^1. 봉사자 대상 : 대학생,휴학생, 직장인 등 활동 보조, 나들이 전반 보조 가능자2. 봉사자 모집인원 : 2명3. 어르신 참가예상인원 : 80명4. 대상 : 어르신 프로그램 참여 어르신(60세 이상)5. 일시 및 장소 : 2019년 04월 24일(수), 아침고요수목원 (경기 가평군 상면 수목원로 432)6. 시간 : 09:00 ~ 16:00 (7시간 소요) 9시에 집결하여 출발하기 때문에 , 8시30분에 오셔서 업무분장 후 진행하시면 됩니다!!7. 활동계획 : 복지관 > 아침고요수목원 > 복지관 (점심식사 제공)8. 활동내용 : 말벗서비스, 전반적인 활동에 대한 보조9. 기타문의 : 02-522-6004 김나은 사회복지사 에게 연락주세요~~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
★2019년 멘토링 프로그램 자원 봉사자 추가 모집★ 부산서부아동보호전문기관 ,부산,북구,공통,"부산서부아동보호전문기관에서는 학대피해아동의 안정적인 성장을 지원하기 위하여 멘토링 자원봉사자를 모집합니다.■ 모집기간 : 2018.09.21. 까지■ 모집대상 : 북구, 강서구, 사상구에서 매주 1회 정기적으로 봉사활동이 가능한 부산 지역 내 대학생■ 모집인원 : 10명■ 활동기간 : 2019.12.31.까지■ 활동일시 : 멘티와 상의 하여 일정조율 후, 주 1회 활동■ 활동장소 : 부산시 사상구, 북구, 강서구■ 활동내용 : 주 1회 학습지도, 진로 및 고민상담, 정서안정지도, 문화체험활동 등 멘티와 상의 후 결정월 1회 간담회■ 신청방법 : VMS 신청 혹은 유선신청■ 문의사항 : ☎. 051)711-1391로 전화주세요(담당자 : 김혜민 상담원) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
야외활동 보조,서울,강남구,공통,"*모집안내: 매주 금요일 야외활동시 보조자를 구합니다(박물관 관람, 비누만들기, 공원산책 등~)날짜는 시설과 조율하여 변경하실 수 있습니다. *정기, 비정기 모두 모집!!   *시간: 13:00~16:00 (시간조절가능) *주소: 해마을주간보호센터 위치 : 3호선 대청역 7번출구. 강남우체국 뒷건물 강남구건강가정지원센터 내 1층에 위치*문의: 해마을주간보호센터 02)3412-7747 직통번호 : 김단비사회복지사 010-5523-1453 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
컴퓨터 교실 수업보조 자원봉사자 모집,대전,동구,공통,"장소 : 대전 동구 용운로 110 용운종합사회복지관 2층 최신정보화실대상 : 60세 이상 지역사회노인 10~20명시간 : 매주 목요일 10시~12시내용 : 컴퓨터 수업시 질의응답 보조자격 : 컴퓨터 기초 상식 함양, 컴퓨터 기본 프로그램 활용가능문의 : 교육문화담당자 김윤관 사회복지사 042)284-5717※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
성내종합사회복지관 이동목욕 자원봉사자 구인,서울,강동구,남,#NAME?
장애인 치과진료 이동 보조활동,대구,달서구,공통,상록뇌성마비복지관에서는 지역사회 장애인 및 소외계층을 위하여 YWCA 착한 치과와 연계하여무료 치과진료 사업을 실시 하고 있습니다.치과 진료를 편안 하게 받을 수 있도록 휠체어 이동 및 이동보조의 역할을 도와 주실 봉사자분을 꾸준히 모집 하고 있으니봉사자 여러분들의 많은 관심과 참여 부탁드립니다 ^^ - 활동 내용: 장애인 치과진료 이동 보조활동- 활동 대상: 장애인 및 소외계층- 활동 장소: 대구 YWCA 치과 [ 대구 남구 현충로 64 ] - 활동 기간: 2019년 4 ~ 12월 까지 수시 모집- 활동 날짜: 월 1~2회 - 정확한 날짜 담당자 문의- 활동 시간: 화요일 14:00 ~ 16:00전화문의: 상록뇌성마비복지관 기획운영지원팀 - 최근수 [ 070-7815-9204 / 053-382-0960 ]※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
아름다운 푸드뱅크 포터Ⅱ(1종) 운전 봉사자 모집(빵 푸드),울산,중구,공통,"사단법인 21세기울산공동체운동에서 운영중인 아름다운 푸드뱅크에서는잉여식품을 활용하여 지역 내 경제적으로 어려움을 겪고 있는대상자들에게 기부식품을 제공하고 있으며,서비스의 원활한 업무 수행을 위하여 차량 운행 자원봉사자를 모집하고 있습니다.많은 관심과 참여 바랍니다^^ *일 시: 2019년 04월 02일 ~ 12월 31일/매주 수요일*출발지 : 아름다운 푸드뱅크(울산 중구 반구2동 442-2번지 5층)*봉사활동 시간: 14시경 ~ 16시 30분경(시간 조정 가능)*내 용: 매주 수요일 기탁처(제과점) 방문 기부식품 수령 및 이용자 배분*문 의: 052-292-1365*비 고: 냉동탑차 또는 아반때 차량 운행 / vms 봉사 실적 제공/ 운전 봉사활동만 해주시면 되고 수령 및 배분은 사회복무요원들이 합니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[강남종합사회복지관]어르신 도시락 배달 자원봉사자 모집,서울,강남구,공통,"안녕하세요 :)강남종합사회복지관에서 대치1단지에 거주하시는 어르신들께 도시락을 전달할 봉사자를 모집하고 있습니다.○ 일자 : 2019년 4월 29일(월)  * 연락주셔서 원하시는 날짜 선택하시면 됩니다.○ 시간 : 오전 09:00 ~ 11:00 / 10:00 ~ 12:00 중 선택○ 장소 : 강남종합사회복지관 인근 도보 3분 이내 대치아파트 1단지  * 분당선 대모산입구역, 3호선 대청역 인근○ 봉사내용 : 지역 내 저소득 어르신댁에 도시락을 전달함. ○ 문의 : 사례관리팀 박건우(070-5068-2137)자세한 문의는 전화 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 봄나들이 활동보조 봉사자 모집합니다,서울,서초구,공통,"까리따스방배종합사회복지관에서 사례관리 및 보호서비스 어르신(취약계층) 봄 나들이 활동 보조 봉사자를 모집합니다.1. 일시 : 2019년 4월 25일 목요일 8시 30분 ~ 18시2. 장소 1) 집결 → 까리따스방배종합사회복지               (서울 서초구 남부순환로 2124)  2) 나들이 장소   - 민머루 해변 : 인천광역시 강화군 삼산면 매음리   - 물레방아 식당(점심식사) : 인천광역시 강화군 삼산면 삼산남로828번길 26   - 아르미애월드 : 인천광역시 강화군 불은면 중앙로 742-23. 모집인원 : 10명4. 모집대상 : 대학생, 휴학생, 직장인5. 활동내용 : 나들이 진행 시 어르신 관람, 체험활동 등 보조, 어르신들의 말벗 역할 수행, 거동이 불편한 어르신, 장애인 등에게 휠체어 동행 어르신 봄나들이를 위해 많은 지원 부탁드립니다~^^!!문의사항은 02-522-6004 김영은 사회복지사 로 문의 주시기 바랍니다. 감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
독거어르신께 따뜻한 온정을 드릴 주말 봉사자를 모집합니다.,서울,관악구,공통,"요양보호사 선생님의 손길이 닿지 않는 매주 일요일, 봉천우성아파트에 거주하시는 독거어르신에게 따뜻한 온정을 드릴 봉사자 분을 기다립니다. 방문하셔서 식사 도움, 청소 및 주변정리, 말벗 등이 필요하며 정기적으로 봉사해주실 분으로 구하고 있습니다.어르신과의 만남이 값진 경험이 되어 보람을 느끼시기를 바라며 많은 참여 부탁드립니다.신청 후 센터 (02-889-3365) 로 연락주시면 자세히 설명해드리겠습니다. 감사합니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
월드비전 꿈디자이너 자원봉사자 모집,경기,오산시,공통,꿈꾸는아이들 꿈디자이너 자원봉사자 모집오산종합사회복지관에서는 월드비전 지원 꿈꾸는아이들 꿈디자이너 사업을 진행하고 있습니다.열정과 의지가 있으며 아이들을 사랑하는 분이면 참여가능합니다.많이 신청해주세요^^1. 활동일정 : 2019년 4월 ~ 12월 / 매월 1회 진행(주말-토요일 또는 평일)2. 활동장소 : 복지관 또는 야외활동(기관방문 하여 직업인 인터뷰 및 기관라운딩)3. 모집인원 : 대학생 및 일반인 0명 / 남4. 모집분야 : 참여아동 1:1 매칭하여 진행됨(멘토링)5. 기타사항*봉시기간은 2019년 4월부터 12월까지 정해져있으나 장기적으로 자원봉사활동 하실 분*주로 야외활동으로 진행될 예정이며 야외활동 시 동행하게 됨6. 문의사항 : 오산종합사회복지관 사무실 (031-378-2740)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[구립영등포노인복지센터] 독거어르신 말벗 자원봉사자 모집,서울,영등포구,공통,"구립영등포노인복지센터에서는 독거어르신을 위하여 말벗 자원봉사자를 모집합니다!활동 기간: 3개월 이상, 평일 또는 주말(봉사자님들의 스케줄에 맞춰 시간 자유롭게 조정 가능)활동 방법: 어르신과 연락을 통한 일정 조율 후 어르신댁에 방문하여 말벗봉사 진행활동 지역: 영등포구 신길4동문의사항은 02-2631-3212로 연락주시기 바랍니다.많은 신청 부탁드립니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
독거노인 반려식물 관리 및 안부확인,제주,제주시,공통,"1. 사업목적- 고령화, 핵가족화 등으로 인해 독거노인 가구가 증가함에 따라 심신안정을 위한 원예치료를 통해 정서적 안정 및 치매예방에 도움을 드리고자 함.- 사회적 관계망이 단절돼 고독사 위험에 노출된 노인세대에 대한 지역사회 돌봄 체계 구축 및 공동체성 회복.2. 사업개요- 봉사기간 :  2019. 5월 ~ 2019. 11월(자세한 날짜는 추후 공지)- 봉사대상 :  독거노인(봉사자 1명당 독거노인 두 분 방문관리/ 아라주공아파트 단지내활동)- 모집인원 :  15명- 봉사내용 :  원예치료 교육을 같이 받은 후 격주 1회 또는 매주 1회 독거노인 가정을 방문하여 반려식물을 관리(햇빛 쬐이기, 물주기, 영양분 챙겨주기 등)해주고 안부 확인하기.                 (1회(2명) 방문시마다 봉사시간 2시간 인정)- 추진일정교육일정교육내용2019. 5월- 우울증 척도진단- 반려식물 꾸미기 및 원예치료 교육2019. 8월- 반려식물 관리 중간점검- 원예치료 교육2019. 11월- 반려식물 키우기 참여 만족도 조사- 원예치료 교육※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
